LU,Century,Frequency
lever le voile.v,17th century,0.005337639
lever le voile.v,18th century,0.008524109
lever le voile.v,19th century,0.009637607
lever le voile.v,20th century,0.002470133
mettre à découvert.v,12th century,0
mettre à découvert.v,13th century,0
mettre à découvert.v,14th century,0
mettre à découvert.v,15th century,0
mettre à découvert.v,16th century,0
mettre à découvert.v,17th century,0.000593071
mettre à découvert.v,18th century,0.007330315
mettre à découvert.v,19th century,0.002870689
mettre à découvert.v,20th century,0.001347346
mettre au jour.v,12th century,0
mettre au jour.v,13th century,0
mettre au jour.v,14th century,0
mettre au jour.v,15th century,0
mettre au jour.v,16th century,0.008866274
mettre au jour.v,17th century,0.062272457
mettre au jour.v,18th century,0.029937759
mettre au jour.v,19th century,0.015760645
mettre au jour.v,20th century,0.023578547
mettre en évidence.v,12th century,0
mettre en évidence.v,13th century,0
mettre en évidence.v,14th century,0
mettre en évidence.v,15th century,0
mettre en évidence.v,16th century,0.031031959
mettre en évidence.v,17th century,0.014708161
mettre en évidence.v,18th century,0.020642168
mettre en évidence.v,19th century,0.022796647
mettre en évidence.v,20th century,0.054914537
rendre public.v,12th century,0
rendre public.v,13th century,0
rendre public.v,14th century,0
rendre public.v,15th century,0
rendre public.v,16th century,0.004433137
rendre public.v,17th century,0.007116852
rendre public.v,18th century,0.017604974
rendre public.v,19th century,0.008953722
rendre public.v,20th century,0.009127179
éventer.v,12th century,0
éventer.v,13th century,0
éventer.v,14th century,0
éventer.v,15th century,0
éventer.v,16th century,0.026598822
éventer.v,17th century,0.014422409
éventer.v,18th century,0.00580561
éventer.v,19th century,0.003208417
éventer.v,20th century,0.007795961
trahir un secret.v,12th century,0
trahir un secret.v,13th century,0
trahir un secret.v,14th century,0
trahir un secret.v,15th century,0
trahir un secret.v,16th century,0
trahir un secret.v,17th century,0.010675278
trahir un secret.v,18th century,0.019912961
trahir un secret.v,19th century,0.015670584
trahir un secret.v,20th century,0.007335548
délateur.n,12th century,0
délateur.n,13th century,0
délateur.n,14th century,0
délateur.n,15th century,0
délateur.n,16th century,0.008866274
délateur.n,17th century,0.01719906
délateur.n,18th century,0.046122343
délateur.n,19th century,0.00669732
délateur.n,20th century,0.00561394
délation.n,12th century,0
délation.n,13th century,0
délation.n,14th century,0
délation.n,15th century,0
délation.n,16th century,0.004433137
délation.n,17th century,0.000593071
délation.n,18th century,0.011058304
délation.n,19th century,0.009794115
délation.n,20th century,0.01302434
coût.n,12th century,0
coût.n,13th century,0.192488403
coût.n,14th century,0
coût.n,15th century,0.123084498
coût.n,16th century,0.057630781
coût.n,17th century,0.008896065
coût.n,18th century,0.000322534
coût.n,19th century,0.00946746
coût.n,20th century,0.062357914
coûter.v,12th century,0.255072109
coûter.v,13th century,0.069995783
coûter.v,14th century,1.462290552
coûter.v,15th century,0.574394322
coûter.v,16th century,0.308034467
coûter.v,17th century,0.295864561
coûter.v,18th century,0.217222316
coûter.v,19th century,0.406825456
coûter.v,20th century,0.28323706
déboursement.n,12th century,0
déboursement.n,13th century,0
déboursement.n,14th century,0
déboursement.n,15th century,0
déboursement.n,16th century,0.004433137
déboursement.n,17th century,0
déboursement.n,18th century,0
déboursement.n,19th century,0
déboursement.n,20th century,0
débourser.v,12th century,0
débourser.v,13th century,0
débourser.v,14th century,0
débourser.v,15th century,0
débourser.v,16th century,0.004433137
débourser.v,17th century,0.003558426
débourser.v,18th century,0.004515474
débourser.v,19th century,0.006079106
débourser.v,20th century,0.004042037
dépense.n,12th century,0
dépense.n,13th century,0
dépense.n,14th century,0.176483342
dépense.n,15th century,0.410281658
dépense.n,16th century,0.291781016
dépense.n,17th century,0.016605989
dépense.n,18th century,0.366862922
dépense.n,19th century,0.313681869
dépense.n,20th century,0.210504628
dépenser.v,12th century,0
dépenser.v,13th century,0
dépenser.v,14th century,0
dépenser.v,15th century,0
dépenser.v,16th century,0
dépenser.v,17th century,0.03909382
dépenser.v,18th century,0.106766329
dépenser.v,19th century,0.158905406
dépenser.v,20th century,0.149992163
en coûter.v,12th century,0
en coûter.v,13th century,0
en coûter.v,14th century,0
en coûter.v,15th century,0
en coûter.v,16th century,0.004433137
en coûter.v,17th century,0.053638041
en coûter.v,18th century,0.05685597
en coûter.v,19th century,0.021434841
en coûter.v,20th century,0.004595294
frais.n,12th century,0
frais.n,13th century,0.017498946
frais.n,14th century,0.327754779
frais.n,15th century,0.082056332
frais.n,16th century,0.092117132
frais.n,17th century,0.128635059
frais.n,18th century,0.346182051
frais.n,19th century,0.315261849
frais.n,20th century,0.286995549
coustage.n,12th century,0
coustage.n,13th century,0
coustage.n,14th century,0.479026215
coustage.n,15th century,0
coustage.n,16th century,0
coustage.n,17th century,0.001186142
coustage.n,18th century,0
coustage.n,19th century,0
coustage.n,20th century,0
coustageux.a,12th century,0
coustageux.a,13th century,0
coustageux.a,14th century,0
coustageux.a,15th century,0
coustageux.a,16th century,0
coustageux.a,17th century,0.000593071
coustageux.a,18th century,0
coustageux.a,19th century,0
coustageux.a,20th century,0
coustance.n,12th century,0
coustance.n,13th century,0
coustance.n,14th century,0
coustance.n,15th century,0
coustance.n,16th century,0
coustance.n,17th century,0.000593071
coustance.n,18th century,0
coustance.n,19th century,0.000168864
coustance.n,20th century,0.000224558
coustement.n,12th century,0
coustement.n,13th century,0.017498946
coustement.n,14th century,0
coustement.n,15th century,0
coustement.n,16th century,0
coustement.n,17th century,0
coustement.n,18th century,0
coustement.n,19th century,0
coustement.n,20th century,0
fuer.n,12th century,0.510144218
fuer.n,13th century,0.559966262
fuer.n,14th century,0.100847624
fuer.n,15th century,0.041028166
fuer.n,16th century,0
fuer.n,17th century,0
fuer.n,18th century,0
fuer.n,19th century,0
fuer.n,20th century,0
coûteux.a,12th century,0
coûteux.a,13th century,0
coûteux.a,14th century,0
coûteux.a,15th century,0
coûteux.a,16th century,0.004433137
coûteux.a,17th century,0
coûteux.a,18th century,0.033543522
coûteux.a,19th century,0.04829512
coûteux.a,20th century,0.085331883
dépens.n,12th century,0.051014422
dépens.n,13th century,0.087494728
dépens.n,14th century,0.504238121
dépens.n,15th century,0.328225327
dépens.n,16th century,0.286850041
dépens.n,17th century,0.18798498
dépens.n,18th century,0.15258333
dépens.n,19th century,0.047645643
dépens.n,20th century,0.016834383
prix.n,12th century,0.051014422
prix.n,13th century,0.034997891
prix.n,14th century,0.075635718
prix.n,15th century,0.123084498
prix.n,16th century,0.420284416
prix.n,17th century,0.668756007
prix.n,18th century,1.178152863
prix.n,19th century,0.907410761
prix.n,20th century,0.589900303
argent déboursé.n,12th century,0
argent déboursé.n,13th century,0
argent déboursé.n,14th century,0
argent déboursé.n,15th century,0
argent déboursé.n,16th century,0
argent déboursé.n,17th century,0.001186142
argent déboursé.n,18th century,0.000322534
argent déboursé.n,19th century,0.000168864
argent déboursé.n,20th century,0
tirer de sa bourse.v,12th century,0
tirer de sa bourse.v,13th century,0
tirer de sa bourse.v,14th century,0
tirer de sa bourse.v,15th century,0
tirer de sa bourse.v,16th century,0.004433137
tirer de sa bourse.v,17th century,0.004151497
tirer de sa bourse.v,18th century,0.001935203
tirer de sa bourse.v,19th century,0.001182048
tirer de sa bourse.v,20th century,0
emploi de son bien.n,12th century,0
emploi de son bien.n,13th century,0
emploi de son bien.n,14th century,0
emploi de son bien.n,15th century,0
emploi de son bien.n,16th century,0
emploi de son bien.n,17th century,0
emploi de son bien.n,18th century,0.000645068
emploi de son bien.n,19th century,0.000337728
emploi de son bien.n,20th century,0.002470133
employer son bien.v,12th century,0
employer son bien.v,13th century,0
employer son bien.v,14th century,0
employer son bien.v,15th century,0.041028166
employer son bien.v,16th century,0.004433137
employer son bien.v,17th century,0.006523781
employer son bien.v,18th century,0.002902805
employer son bien.v,19th century,0.00084432
employer son bien.v,20th century,0.00089823
faire de la dépense.v,12th century,0
faire de la dépense.v,13th century,0
faire de la dépense.v,14th century,0.075635718
faire de la dépense.v,15th century,0
faire de la dépense.v,16th century,0.031031959
faire de la dépense.v,17th century,0.085608513
faire de la dépense.v,18th century,0.0638101
faire de la dépense.v,19th century,0.019374928
faire de la dépense.v,20th century,0.009460086
faire des frais.v,12th century,0
faire des frais.v,13th century,0
faire des frais.v,14th century,0.025211906
faire des frais.v,15th century,0.041028166
faire des frais.v,16th century,0
faire des frais.v,17th century,0.015734537
faire des frais.v,18th century,0.02618975
faire des frais.v,19th century,0.025329608
faire des frais.v,20th century,0.018926997
déboursé.n,12th century,0
déboursé.n,13th century,0
déboursé.n,14th century,0
déboursé.n,15th century,0
déboursé.n,16th century,0
déboursé.n,17th century,0
déboursé.n,18th century,0.000967602
déboursé.n,19th century,0.00359517
déboursé.n,20th century,0
cher.a,12th century,0.051014422
cher.a,13th century,0.034997891
cher.a,14th century,0
cher.a,15th century,0.123084498
cher.a,16th century,0.150682981
cher.a,17th century,0.130719352
cher.a,18th century,0.144842575
cher.a,19th century,0.282008013
cher.a,20th century,0.183762958
dispendieux.a,12th century,0
dispendieux.a,13th century,0
dispendieux.a,14th century,0
dispendieux.a,15th century,0
dispendieux.a,16th century,0
dispendieux.a,17th century,0
dispendieux.a,18th century,0.027092845
dispendieux.a,19th century,0.020417199
dispendieux.a,20th century,0.01392257
onéreux.a,12th century,0
onéreux.a,13th century,0
onéreux.a,14th century,0
onéreux.a,15th century,0
onéreux.a,16th century,0.008866274
onéreux.a,17th century,0.005337639
onéreux.a,18th century,0.062958611
onéreux.a,19th century,0.023809832
onéreux.a,20th century,0.019461657
qui coûte beaucoup.a,12th century,0
qui coûte beaucoup.a,13th century,0
qui coûte beaucoup.a,14th century,0
qui coûte beaucoup.a,15th century,0
qui coûte beaucoup.a,16th century,0
qui coûte beaucoup.a,17th century,0.001186142
qui coûte beaucoup.a,18th century,0.002902805
qui coûte beaucoup.a,19th century,0.000506592
qui coûte beaucoup.a,20th century,0.000224558
qui est de grand prix.a,12th century,0
qui est de grand prix.a,13th century,0
qui est de grand prix.a,14th century,0
qui est de grand prix.a,15th century,0
qui est de grand prix.a,16th century,0
qui est de grand prix.a,17th century,0.021033138
qui est de grand prix.a,18th century,0.024627374
qui est de grand prix.a,19th century,0.008425045
qui est de grand prix.a,20th century,0.002245576
